,id,name,booth,profile,positions,employment types,location,linkedin,twitter,facebook,contact
10,3348,Auvik Networks,155,"Auvik is a venture-backed company making software that's changing the way IT networks are managed. With a first-class team of developers, UX designers and QA specialists, we're solving the problems of network complexity so our customers don't have to. We were named to the ChannelE2E 100 list, which identifies top disruptors and innovators in the IT channel. 

Awesome or bust — those are words we live by. We're headed all the way to the top and looking for people with the smarts, talent and drive to join us. Are you up for it?","['Software Development', 'Business development', 'Digital Marketing', 'Sales']",['Full-time'],[''],www.linkedin.com/company/2851463/,@AuvikNetworks,www.facebook.com/AuvikNetworksInc/,"180 Columbia Street West, Unit 1C, Waterloo, Ontario N2L 3L3
Taylor Soock, Talent Acquisition Specialist
tsoock@auvik.com, 519.804.4700 x204"
11,3240,Aviva Canada - Healthcare Claims,135,"Aviva Canada is one of the leading property and casualty insurance groups in the country providing home, automobile, leisure/lifestyle and business insurance to more than three million customers. A wholly-owned subsidiary of UK-based Aviva plc, the company has more than 4,000 employees focused on creating a bright and sustainable future for our customers and our communities.",['Junior Healthcare Accident Benefits Claims Advisor'],['Full-time|Summer'],"['', 'Ontario (excluding GTA)']",ca.linkedin.com/company/aviva-canada,@avivacanada,,"Michael Avveduto, Senior Front Line Manager
10 Aviva Way, Markham Ontario L6G 0G1 
michael.avveduto@aviva.com, 365.873.5947"
12,3200,B&R Industrial Automation,67,"We do business in more than 180 locations around the world and are made up of more than 3,000 representatives who fulfill our mission. Our teams are always on hand to provide our customers with comprehensive service and support. From conceptual design to after-sales service, we accompany our customers along every step of the way. We develop scalable hardware and software solutions that work together seamlessly and give our customers a technological edge in their respective market.","['Application Engineer, Ontario', 'Sales Engineer, Ontario', 'Application Engineer, Quebec', 'Sales Engineer, Quebec', 'Internships, Ontario', 'Internships, Quebec']","['Full-time|Co-op', 'Internship']","['Eastern Canada', 'Northern Canada', 'Ontario (GTA)', 'Ontario (excluding GTA)', 'Quebec']",www.linkedin.com/company/300516/?trk=companies_home_ycp_see_cp_b%26r-industrial-automation,@BR_Automation,,jobs.ca@br-automation.com
13,3339,BASF Corporation,148,"BASF is the world’s leading chemical company, with over 350 sites and approximately 112,000 employees worldwide. We provide a challenging and rewarding work environment and are always working to form the best team, especially from within, through an emphasis on lifelong learning and development. We are constantly striving to become an even better place to work. BASF has been recognized by Forbes Magazine as one of America’s Best Employers in 2015. Come join us on our journey to create solutions for a sustainable future.","['Positions for\xa0Chemical Engineering, Accounting, MBA, and Business Management students. Looking for\xa0Experienced Professional, Masters, MBA, and Undergraduate candidates.']","['Full-time|Co-op', 'Internship']",[''],,@,,
14,3301,BBM Canada,116,"BBM is one of the largest mobile messaging applications. Moving beyond BlackBerry devices, the app now has over 100 million installs on Android, iOS and Windows. Since it was created in August 2005, BBM has evolved from a pure messaging application for communication (text and video) to a social eco-system unifying chat, social, commerce and services including games.","['Kitchener, Canada: Senior Back-End Engineer', 'Senior DevOps Engineer\nOttawa, Canada: Product Manager', 'Test Automation Developer (QA)', 'Android Engineer', 'iOS Engineer', 'Java Software Engineer,\nMississauga, Canada:\xa0Test Automation Developer (QA)', 'Data Analyst', 'Android Engineer', 'C++ Engineer', 'iOS Engineer', 'Cassandra NoSQL Engineer', 'DevOps Engineer\n\r\nPlease visit our Career page and apply: https://careers.bbm.com/']",['Full-time'],['Ontario (GTA)'],bbmtek.com,@,,"5580 Explorer Drive, Suite 500, Mississauga, Ontario L4W 4Y1
Darshan Vyas, Technical Recruiter
dvyas@bbmtek.com, 647.280.2989"
15,3414,Big Viking Games,201,"Big Viking Games, founded in 2011, is the largest independent mobile and social game studio in Canada and a pioneer in mobile HTML5 games. The company has grown profitably to a team of over 100 Vikings across two studios in Toronto and London, Ontario. From our beginnings with hits like FishWorld and YoWorld, we have become a leader in live operations and a pioneer of what is possible with mobile HTML5 technologies to redefine the future of mobile entertainment. Our titles are played by millions of people on iOS, Android, Facebook and the mobile web.",[''],"['Full-time|Co-op', 'Internship']",[''],,@,www.facebook.com/BigVikingGames/,"Michelle Pereira, HR Generalist
mpereira@bigvikinggames.com"
16,3207,BlackBerry Limited,56,"A global leader in mobile communications, BlackBerry (formerly Research In Motion), revolutionized the mobile industry with the introduction of the BlackBerry solution in 1999. Today, BlackBerry aims to inspire the success of millions of customers around the world by continuously pushing the boundaries of mobile experiences. BlackBerry empowers customers with an end-to-end suite of mobile solutions, delivering innovative mobile technologies to users and organizations that value productivity and achievement.","['Technical: Software Development', 'QNX Software Development', 'BBM Software Development', 'Software Test', 'Web and App Development', 'Enterprise Software Development', 'Embedded Software Development Hardware Engineering', 'Mechanical Engineering', 'IT', 'Enterprise Customer Service and Security\xa0\n\nNon-Technical: Human Resources', 'Finance', 'Legal', 'Global Sales', 'Global Supply Chain', 'Marketing and Corporate Communication', 'Project Coordination']","['Co-op', 'Internship']","['Ontario (GTA)', 'Ontario (excluding GTA)']",,@,,
17,3262,Bonanza Gardens,146,"Bonanza Gardens ia a wholesale horticulture live goods supplier who manages and services major retail customers throughout Ontario. We are dedeicated and committed to providing only the most premium quality annuals, perennials, trees and shrubs to our customers; we service over 30 retail locations durning the months of April through early June.","['We are looking for dedicated and self motivated individuals who can assist us with merchandising, restocking and servicing the garden centres we manage. Applicants in this support role are required to work flexible hours including evenings and weekends.']",['Summer'],['Ontario (GTA)'],,@,,
18,3186,Brock Solutions,182,"Brock is a leader in the industrial engineering solution space, specializing in software development and controls automation all around the world. Developing leading advanced solutions first depends on developing a great team of people. At Brock, you will be part of an approximately 400 person team that spans across Canada and the U.S. and has been in business for over 30 years. You will work with highly collaborative groups, talented engineers, experienced project managers and peers that will help you expand your knowledge within a number of different industries.",['Both full-time and co-op positions as Software Developers and Controls Systems Engineers.'],"['Full-time|Co-op', 'Internship']",[''],,@,,
19,3308,BSM Technologies,44,"BSM is a global top 20 commercial fleet telematics provider for automatic vehicle location (AVL) solutions that improve efficiency, accountability and reduce costs. BSM's end-to-end solutions automate record keeping and regulatory compliance, reduce fuel burn and idling, mitigate risk, and keep drivers safe. BSM provides solutions that utilize its integrated fleet tracking, fleet maintenance and intelligent business engine which provides real time, web-based tracking of mobile and fixed assets. We are passionate about connecting our customers to what counts.","['We have junior and senior full-time positions available including:\xa0 Software Developer, iOS', 'Software Developer, Android', 'Software Engineer, Sustaining.\xa0For a complete listing, please visit: http://bsmtechnologies.com/about_us/careers/']",['Full-time'],"['Ontario (GTA)', 'Ontario (excluding GTA)', 'Western Canada']",ca.linkedin.com/company/bsm-wireless,@bsmfleets,www.facebook.com/BSMTechnologiesInc/,"Please visit our website: http://bsmtechnologies.com/about_us/careers/.
Contact us directly: joinourteam@bsmtechnologies.com."
20,3378,BWXT Canada Ltd.,97,"BWXT Canada Ltd. (BWXT Canada) has over 60 years of expertise and experience in the design, manufacturing, commissioning and service of nuclear power generation equipment. This includes CANDU ® and Pressurized Water Reactor steam generators, nuclear fuel and fuel components, critical plant components, parts and related plant services. Headquartered in Cambridge, Ontario, BWXT Canada has approximately 850 employees at locations in Cambridge, Peterborough, Toronto and Arnprior, Ontario. BWXT Canada is a subsidiary of BWX Technologies, Inc. (NYSE:BWXT). Learn more at www.BWXT.com.","['Please visit www.bwxt.com/careers to view a full listing of our current opportunities.\xa0 Some of them include: Welders (highly skilled', 'various skillsets)', 'Quality Control Inspectors', 'Inspection Services Technicians', 'Environmental Health & Safety Specialist', 'Financial Analyst', 'Accountant', 'Manufacturing Engineer', 'Field Technician', 'Buyer']","['Full-time|Co-op', 'Internship|Contract']","['Ontario (GTA)', 'Ontario (excluding GTA)']",www.linkedin.com/company/bwx-technologies?trk=biz-companies-cyf,@BWXTech,www.facebook.com/#!/pages/BWX-Technologies-Inc/600875090013590,"581 Coronation Boulevard, Cambridge, Ontario N1R 5V3
www.bwxt.com"
21,3146,Camp Couchiching,50,"Camp Couchiching is a traditional summer camp just outside of Orillia, Ontario! We pride ourself on our inclusive community and tight-knit group of staff and campers. We have all the traditional summer camp activities (canoeing, archery, highropes) plus some other Camp Couchiching exclusives that are sure to be a great time. Join our team for two months and prepare to become a member of the community! Make new friends, have lasting impacts on our campers and get ready for a fulfilling summer.","['Head Tripper', 'Tripper', 'Media Area Head', 'Sailing Area Head', 'Counsellor']",['Summer'],[''],,@,facebook.com/campcooch/,
22,3169,Camp Kennebec,125,"Camp Kennebec's fun first approach and exciting summer program gives kids with special needs (ASD, ADHD, LD's and many others) an incredible opportunity to learn, grow and develop their full potential at camp and beyond. Highlights include an individual program, 50+ activities, leadership programs, social skills development, program for campers 18+, and much more. Camp Kennebec - making kids happy since 1967!","['Camp Counsellor', 'Lifeguards, NLS', 'Health Centre Team', 'Activity Specialists']",['Summer'],['Eastern Canada'],,@campkennebec,facebook.com/campkennebec,"1422 Cox Road, Arden, Ontario K0H 1B0
Rob Deman, Director
rob@campkennebec.com, 613.335.2114"
23,3141,Camp Kodiak,54,"Camp Kodiak is a summer residential camp for kids and teens with and without Learning Disabilities, ADHD and high-functioning ASD. A summer at Kodiak provides a great learning experience for our staff, while having a whole lot of fun!","['We are currently seeking applicants for a variety of roles:\xa0counsellors', 'activity instructors', 'lifeguards', 'nurses', 'teachers', 'laundry staff.\n\r\nInterested applicants can visit our website (www.CampKodiak.com) to apply, or send us an email (geoff@campkodiak.com). We are currently conducting interviews for summer 2018, so apply today!']",['Summer'],[''],,@,www.facebook.com/campkodiak,"Geoff Grimmett, Assistant Director
geoff@campkodiak.com, 905.569.7595"
24,3422,Camp Trillium,167,Camp Trillium is a non-profit organization that provides recreational summer camp programs for families affected by childhood cancer. We hire between 40 - 50 paid staff for our summer sessions which run from the beginning of June to the end of August. We operate from two locations: our Island is located in the Prince Edward County (Approximately 50 minutes South West of Kingston); Rainbow Lake is located in Waterford (Approximately 60 minutes South of Hamilton).,"['Activity Instructors: Swimming, Canoeing/Kayaking, Sailing, Drama, Arts & Crafts, Fishing/Archery, out tripping, Project Wilderness, High/Low Ropes,\xa0Group Leader (Traditional camp counsellor role). We are also looking to hire Nurses and Health Care Assistants for our summer programs.']",['Summer'],"['Ontario (GTA)', 'Ontario (excluding GTA)']",,@CampTrillium,www.facebook.com/camptrillium/,"940 Queensdale Avenue East, Hamilton, Ontario L8V 1N4
Tam Tran, Assistant Director of Programs
tamt@camptrillium.com, 888.999.2267"
25,3183,Canada Revenue Agency,32,"At the Canada Revenue Agency (CRA), our focus is on people, progress and professional development. We make decisions based on our corporate values: integrity, professionalism, respect, cooperation and commitment to employment equity. We are a forward-thinking, technologically advanced organization with an excellent reputation for service to Canadians. As an employee, you can benefit from challenging work as well as opportunities for advancement and career development. Our corporate culture encourages a good work-life balance.","['We offer positions across Canada in a variety of professional streams from entry to more senior management positions.\r\n\nLocally, positions are available in the following areas: Appeals, Problem Resolution Program', 'Audit', 'Collections and Verification\xa0\nNationally, positions may be available in the following additional areas: Information Technology', 'Enforcement', 'Finance and Administration', 'Human Resources', 'Public Affairs']","['Co-op', 'Internship']",[''],,@,,
26,3424,Canadian Broadcasting Corporation,104,"What it’s like working at CBC/Radio-Canada?
At CBC/Radio-Canada, we create content that informs, entertains and connects Canadians on multiple platforms. Our successes and accomplishments are driven by embodying and upholding values, which include creativity, integrity, inclusiveness and relevance.","['Agile Team Lead', 'IOS developer', 'Android developer', 'Full stack developer', 'Product Manager']",['Full-time'],"['Ontario (GTA)', 'Ontario (excluding GTA)']",www.linkedin.com/company/4388/,@CBCToronto,www.facebook.com/jobscbc/,"250 Front Street West, Toronto, Ontario M5V 3G5
Miriam Zgodzinski, Recruiter
miriam.zgodzinski@cbc.ca, 416.205.5995"
27,3341,Canadian Coast Guard,100,"Are you looking for an opportunity to assist the Canadian environment? Then the Canadian Coast Guard is the place to be! The Canadian Coast Guard minimizes the environmental, economic and public safety impacts of marine pollution incidents all year around. Currently on our team we have Incident Management specialists, Biologists, Scientists and Mechanical Engineers! Want to be part of the team of professionals who help protect Canadian waters? A Coast Guard environmental response specialist will explain the opportunities.","['Full-time\xa0positions: Sarnia ON, Response Specialist', 'Quebec QU, Response Specialist\r\nStudent Positions: 4\xa0months April to August 2018, Sept 2018\xa0to Jan 2019 and Jan to April 2019; 1\xa0position per\xa0placement Sarnia ON, 1 position per placement Quebec, QU']","['Full-time|Co-op', 'Internship']","['', 'Ontario (excluding GTA)']",www.linkedin.com/company/1556/,@CCG_GCC,www.facebook.com/CanadianCoastGuard/,www.ccg-gcc.gc.ca/ccg/er/home; www.ccg-gcc.gc.ca/College-and-Careers/Careers
28,3275,Canadian Coast Guard,99,"The Canadian Coast Guard  is responsible for services and programs that contribute to the safety, security, and accessibility of Canada’s waterways. Through sound science, forward-looking policy and operational and service excellence, Fisheries and Oceans Canada employees work collaboratively toward the following three strategic outcomes:

Economically Prosperous Maritime Sectors and Fisheries;
Sustainable Aquatic Ecosystems;
Safe and Secure Waters.",['Electronic Technologist Career Development MELDEV Program:\r\nAs an Electronic Technologist\xa0you are responsible for maintaining and repairing Navigational and Communication systems on board Coast Guard vessels and at Marine\xa0Traffic centers.\nwww.ccg-gcc.gc.ca/College-and-Careers/MELDEV'],['Full-time'],['Other'],,@CCG_GCC,www.facebook.com/CanadianCoastGuard,
29,3203,Canadian Deafblind Association Ontario Chapter,74,"The Canadian Deafblind Association Ontario Chapter provides intervenor services to individuals with deafblindness. We hire full-time, part-time and casual intervenors to work with individuals who are deafblind. We are looking for individuals with training in social services and health care services who are interested in being trained to work in this exciting field. We have an in-house training program that provides extensive knowledge and practical training on how to be an effective intervenor - no specific experience as an intervenor is required!","[""What is an Intervenor? The intervenor provides communication services and support\xa0to a person who is deafblind.\xa0They serve\xa0as the person's communication partner,\xa0connecting them with the\xa0world around them. This communication allows the\xa0person to make choices, be independent and thrive.\n\r\nWe have full-time, part-time and casual intervenors positions available in a variety of locations across the province of Ontario. We also have an administrative team at our Resource Centre in Paris, Ontario.""]","['Full-time|Part-time ', ' Casual']","['', 'Ontario (excluding GTA)']",,@CDBAOntario,www.facebook.com/cdbaontario/,"Jennifer Kapin, Recruitment Specialist
hr@cdbaontario.com, 519.442.0463
https://cdbaontario.prevueaps.com/jobs/"
30,3128,Ceridian,13,"Explore opportunities for growth and success with a world-leader in Human Capital Management. We look for fun, intelligent, team players who believe in our values: customer focus, transparency, diligence, optimism and agility! You'll have the opportunity to work with people who challenge you to think bigger and inspire you to be better. Ceridian is proud to have earned a variety of distinguished awards for technology innovation, organizational excellence and developed our own charity Ceridian Cares.","['Come join us at the P4E Career Fair on February 7 and in the meantime you can connect with us on LinkedIn, Ceridian Twitter @CeridianCareers, Facebook Ceridian Careers and follow us using #CeridianOnCampus.']",['Full-time'],['Ontario (GTA)'],www.linkedin.com/company/ceridian,@Ceridian,www.facebook.com/Ceridian/,"4110 Yonge Street, Suite 604/401, Toronto, Ontario M2P 2B7
talentacquisitionsupport@ceridian.com"
31,3318,CF Crozier & Associates,147,"C.F. Crozier & Associates is a consulting engineering firm specializing in private sector land development. Crozier engineers, designers and technicians work on a variety of projects in commercial, industrial, residential and recreational developments. Our projects span the GTA, Georgian Bay and across Ontario. With expertise in civil, water resources, transportation, structural, mechanical and electrical engineering, our team is as diverse as our client roster – and we’d love for you to join us.",[''],['Full-time'],['Ontario (GTA)'],www.linkedin.com/company/586778/,@CrozierEngineer,www.facebook.com/CrozierConsultingEngineers/,
32,3201,CGI,11,"Founded in 1976, CGI is one of today’s largest IT and business process services providers in the world. With over 70,000 professionals globally serving as a leading IT services partner and expert of choice to support our clients’ journeys in high-end business and IT consulting, systems integration, transformational outsourcing and intellectual property, CGI is your end-to-end partner in digital transformation. To learn more, please visit www.cgi.com.","['For both co-ops and new grads: project control officers', 'business analyst', 'technical analysts', 'java developers']","['Full-time|Co-op', 'Internship']","['Ontario (GTA)', 'Ontario (excluding GTA)']",,@,,
33,3427,Children's Mental Health Services,180,,"['Child and Family Therapists', 'Child and Youth Workers']","['Full-time|Part-time ', ' Casual']",['Eastern Canada'],,@,,
34,3399,Christian Horizons-West District,198,"Founded in 1965, Christian Horizons is a non-profit, faith-based, charitable organization serving people with exceptional needs in Canada and in developing countries around the world. With over 3,500 employees, Christian Horizons supports nearly 2,000 people with developmental disabilities and their families through residential and ancillary programs such as participation supports, employment supports and supported vacation opportunities. Christian Horizons has more than 200 residences as well as respite care and independent living locations throughout Ontario.","['Applications are currently being accepted for Part-Time and Casual Direct Support Professional positions.\n\r\nDirect Support Professionals assist people with developmental disabilities to find a satisfying and purposeful place in their community by enhancing their quality of life and promoting personal growth. Direct Support Professionals foster community inclusion, assist with activities of daily living, promote the implementation of person-centered plans and may also assist with aspects of personal care.']","['Part-time ', ' Casual']",['Ontario (GTA)'],,@Chorizons,,"Applicants must submit apply online at: www.christian-horizons.org/careers.

Attach a resume and cover letter addressed to the attention of:
Recruitment and Employee Relations Specialist
c/o West District Office, Christian Horizons
4275 King Street East, Suite 101, Kitchener, ON  N2P 2E9
westjobs@christian-horizons.org, 519.650.3241"
35,3434,CIHI,209,"The Canadian Institute for Health Information (CIHI) is an independent, not-for-profit organization that provides essential information on Canada’s health system and the health of Canadians. We have a talented and creative staff of more than 700 people – analytical gurus, IT experts and other professionals who work at the intersection of health data, technology and innovation. The work is exciting, the people are passionate and the environment is collaborative and fun!","['CIHI is committed to bringing in diverse talent for all areas of our organization.\r\n\nWe are always looking for: Analysts', 'Coordinators', 'Software Developers', 'IT Support Technicians', 'Administrators (IT)', 'Customer Service Representatives', 'and many more.\nCo-op Opportunities in the following Departments: ITS Product Delivery', 'Architecture & Standards', 'Research & Analysis', 'Communications.']","['Full-time|Summer|Co-op', 'Internship|Contract']","['Ontario (GTA)', 'Ontario (excluding GTA)']",www.linkedin.com/company/24842/,@CIHI_ICIS,www.facebook.com/CIHI.ICIS/,"Toronto: 4110 Yonge Street, Suite 300, Toronto, Ontario  M2P 2B7
416.481.2002, 416.481.2950 (f)

Ottawa: 495 Richmond Road, Suite 600, Ottawa, Ontario  K2A 4H6
613.241.7860, 613.241.8120 (f)"
36,3160,Cintas Canada Ltd,58,"Cintas helps businesses of all kinds and sizes get ready for the workday. We do this by providing a wide range of products and services that enhance our customers' image and help keep their facilities and employees clean and safe - everyday. The company now leads the industry in supplying corporate identity uniform programs, entrance and safety mats, restroom supplies, promotional products, first aid, safety, fire protection products and services, and industrial carpet and tile cleaning. We operate almost 400 facilites in North America, Europe and Latin America.","[""Management Trainees:\xa0 We're currently looking for future leaders to eventually move into supervisor and manager roles.\xa0If you have a great drive, a passion for learning and the commitment to win at every level of your career, today is the day you make the decision to join the Cintas team.\nCo-op:\xa0 Cintas is currently looking for a co-op students to participate in a full-time summer/fall/winter poaition.""]",['Full-time'],"['Ontario (GTA)', 'Ontario (excluding GTA)']",,@,,"23 Torlake Crescent, Etobicoke, Ontario M8Z 1B5
Della Turchiaro, Human Resources Manager
turchiarod@cintas.com, 416.253.4400"
37,3432,Clearpath Robotics,202,"Clearpath provides self-driving vehicle technology and services to over 500 of the world’s most innovative brands. Proprietary hardware, software and services are delivered through the company’s industrial and research divisions: Clearpath Robotics and OTTO Motors. We need more passionate people on our team who are willing and able to push the boundaries of robotics into focused and practical applications.","['Senior Integrator / Engineering Technologist (Research Solutions)', 'Marketing Coordinator', 'Product Marketing Manager', 'Component Sales Manager (Research Solutions)', 'Business Development Representative', 'Applications Engineering Business Partner (a.k.a Concept Developer)', 'Autonomy Engineer, Controls', 'Autonomy Engineer, Perception', 'Certifications & Compliance Lead', 'Field Services Technician', 'Project Manager (Industrial)', 'Senior Mechanical Designer (Industrial)', 'Senior Mechanical Engineer (Research Solutions)']",['Full-time'],['Western Canada'],,@,,
38,3337,Clio,169,"Founded in 2008, Clio is the most comprehensive cloud-based practice management platform for the legal industry. With the help of the cloud, Clio eases the processes of time tracking, billing, administration and collaboration for law firms of all sizes. One of Canada’s fastest-growing companies with international reach, Clio employs over 200 individuals with a rapidly growing customer base spanning 50 countries. For the last two years, Clio’s growth has been recognized by Deloitte on both the Fast50 and the Fast500 lists.","['Software Developer Co-op', 'May 2018 (8-month)']","['Co-op', 'Internship']",['Western Canada'],www.linkedin.com/company/385372/,@goclio,www.facebook.com/GoClio/,"Brittany Smith, Talent Acquisition Specialist
brittany.smith@clio.com"
39,3330,CNIB Lake Joseph Centre,62,"CNIB’s Lake Joseph Centre (“Lake Joe”) is a fully accessible lakefront facility in the heart of Muskoka that offers a unique blend of recreation and skills development in a safe, inclusive environment. At Lake Joe, people with sight loss and their families can enjoy the same summer pursuits as other Canadians: canoeing, kayaking, waterskiing, swimming, sailing and fishing – as well as the skills training, confidence building and support offered by a community that understands living with sight loss.","['Program Coordinator -\xa0Lead, Waterfront', 'Lead, Special Programs', 'Lead, Service Support', 'Program Facilitators', 'Drivers', 'Lifeguards', 'Wellness Assistant', 'Office Coordinator']",['Summer'],"['', 'Ontario (excluding GTA)']",,@,,"4 Joe Finely Way, MacTier, Ontario P0C 1H0
Cait Lazarus, Program Manager
caitlin.lazarus@cnib.ca, 705.375.2630 x5501"
40,3420,Cole Engineering Group Ltd,161,"Cole Engineering Group Ltd. (COLE) is a Canadian consulting engineering firm, wholly owned and operated by our principals and senior staff, providing innovative professional engineering services to government, industrial and development clients. Cole Engineering was incorporated in 2003 and now has over 340 professional and technical staff, located in our head office in Markham, and satellite offices in St. Catharines, Kitchener, Mississauga and Whitby.",['Rotational New Graduate Program Posting'],['Full-time'],['Ontario (GTA)'],,@,,
